date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,movingAverage,standardDeviation,BollingerBandsUpper,BollingerBandsLower,change,gain,loss,AvgU,AvgD,rs,rsi
2011-12-03,3.04,3.45,3.04,3.45,131.76,3.04,3.45,3.04,3.45,131.76,0.0,1.0,2.8325000000000005,0.3649639491929689,3.562427898385938,2.102572101614063,-0.3799999999999999,0.0,0.3799999999999999,0.12340779166918564,0.12573973379374784,0.981454214557291,49.53201579661903
2011-12-04,2.93,2.93,2.93,2.93,0.5,2.93,2.93,2.93,2.93,0.5,0.0,1.0,2.814,0.34904983809434137,3.512099676188683,2.115900323811317,-0.10999999999999988,0.0,0.10999999999999988,0.11459294940710096,0.1246154670941944,0.9195724421630775,47.905065834705034
2011-12-06,2.93,2.99,2.82,2.82,207.36,2.93,2.99,2.82,2.82,207.36,0.0,1.0,2.793,0.32704578787751243,3.447091575755025,2.1389084242449754,0.0,0.0,-0.0,0.1064077387351652,0.11571436230175197,0.9195724421630773,47.90506583470503
2011-12-07,2.98,3.25,2.89,2.9,216.11,2.98,3.25,2.89,2.9,216.11,0.0,1.0,2.7745,0.30349672676636336,3.381493453532727,2.1675065464672736,0.04999999999999982,0.04999999999999982,0.0,0.10237861453979624,0.10744905070876967,0.9528107867354142,48.79176176245232
2011-12-08,3.3,3.35,3.05,3.05,233.21,3.3,3.35,3.05,3.05,233.21,0.0,1.0,2.8160000000000003,0.31615119634024813,3.4483023926804965,2.183697607319504,0.31999999999999984,0.31999999999999984,0.0,0.11792299921552507,0.09977411851528613,1.1818996847109042,54.168378729451206
2011-12-09,3.3,3.5,2.95,3.27,115.72,3.3,3.5,2.95,3.27,115.72,0.0,1.0,2.8560000000000003,0.32456286391326483,3.50512572782653,2.2068742721734704,0.0,0.0,-0.0,0.10949992784298755,0.09264739576419426,1.1818996847109042,54.168378729451206
2011-12-11,3.2,3.2,3.0,3.2,12.28,3.2,3.2,3.0,3.2,12.28,0.0,1.0,2.8660000000000005,0.3322237673300164,3.5304475346600332,2.201552465339968,-0.09999999999999964,0.0,0.09999999999999964,0.10167850442563132,0.0931725817810375,1.0912921213730384,52.182672627129215
2011-12-12,3.27,3.37,3.17,3.17,157.78,3.27,3.37,3.17,3.17,157.78,0.0,1.0,2.88,0.34343466397708616,3.5668693279541723,2.1931306720458275,0.06999999999999984,0.06999999999999984,0.0,0.0994157541095148,0.08651739736810626,1.1490839661591967,53.468546797304455
2011-12-13,3.48,3.6,3.37,3.37,75.62,3.48,3.6,3.37,3.37,75.62,0.0,1.0,2.929,0.35604405404535816,3.6410881080907163,2.2169118919092834,0.20999999999999996,0.20999999999999996,0.0,0.10731462881597803,0.08033758327038437,1.3357960800837094,57.18804357424205
2011-12-14,3.56,3.59,3.25,3.25,66.15,3.56,3.59,3.25,3.25,66.15,0.0,1.0,2.9855,0.3622949510812267,3.7100899021624536,2.2609100978375465,0.08000000000000007,0.08000000000000007,0.0,0.10536358390055103,0.07459918446535693,1.4123959216937654,58.547434481737525
2011-12-15,3.47,3.49,3.42,3.42,90.76,3.47,3.49,3.42,3.42,90.76,0.0,1.0,3.0404999999999998,0.347115557885723,3.734731115771446,2.3462688842285537,-0.08999999999999986,0.0,0.08999999999999986,0.09783761362194025,0.07569924271783143,1.2924516825964758,56.37857898634617
2011-12-16,3.45,3.45,3.39,3.39,102.74,3.45,3.45,3.39,3.39,102.74,0.0,1.0,3.1005,0.30436257809949163,3.709225156198983,2.4917748438010165,-0.020000000000000018,0.0,0.020000000000000018,0.09084921264894452,0.07172072538084347,1.2667079448308292,55.883156351021086
2011-12-17,3.44,3.5,3.25,3.25,84.61,3.44,3.5,3.25,3.25,84.61,0.0,1.0,3.143,0.28824514420523256,3.719490288410465,2.566509711589535,-0.010000000000000231,0.0,0.010000000000000231,0.08435998317401992,0.06731210213935468,1.253266210574904,55.619979773945246
2011-12-19,3.5,3.5,3.25,3.25,17.24,3.5,3.5,3.25,3.25,17.24,0.0,1.0,3.168,0.29674727862007694,3.761494557240154,2.5745054427598464,0.06000000000000005,0.06000000000000005,0.0,0.08261998437587564,0.06250409484368649,1.3218331468121571,56.93058300192736
2011-12-20,3.85,3.98,3.5,3.5,134.73,3.85,3.98,3.5,3.5,134.73,0.0,1.0,3.2230000000000003,0.3164789840864972,3.8559579681729947,2.590042031827006,0.3500000000000001,0.3500000000000001,0.0,0.10171855692045596,0.05803951664056602,1.7525741565077233,63.67037023740966
